,Crime Type,Year,Latitude (Arlington),Longitude (Arlington)
0,POSSESSION OF SCHEDULE I/II CONTROLLED SUBSTANCE,2019,38.84811742,-77.0804487
1,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY $1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.88784359,-77.0987862
2,POSSESSION OF MARIJUANA,2019,38.84566657,-77.0781566
3,ROBBERY,2019,38.84706729999999,-77.06984479
4,PETIT LARCENY: SHOPLIFTING,2019,38.89607887,-77.07458521
5,GRAND LARCENY: SHOPLIFTING,2019,38.86278653,-77.06229785
6,GRAND LARCENY: ALL OTHER LARCENY,2019,38.86225058,-77.05877643
7,INTENTIONALLY DESTROY/DEFACE/DAMAGE PROPERTY =$1000 (VANDALISM/DESTRUCTION OF PROPERTY),2019,38.86274802,-77.06210992
8,POSSESSION OF SCHEDULE I/II CONTROLLED SUBSTANCE,2019,38.84627891,-77.07829064
9,"HIT AND RUN - ATTENDED PROPERTY: DAMAGE $1,000",2019,38.88173299,-77.10871452
10,POSSESSION OF SCHEDULE I/II CONTROLLED SUBSTANCE,2019,38.87477024,-77.12814823
11,DUI,2019,38.87914438,-77.10965269
12,HIT AND RUN - UNATTENDED PROPERTY: DAMAGE ONLY,2019,38.89883946,-77.11429117
13,POSSESSION OF MARIJUANA,2019,38.86564796,-77.07077791
14,ASSAULT & BATTERY,2019,38.86432381,-77.05372156
15,VIOLATE PROTECTIVE ORDER ISSUED UNDER 19.2: MISDEMEANOR,2019,38.89417695,-77.07142154
16,GRAND LARCENY: SHOPLIFTING,2019,38.8635842,-77.05877828
17,PETIT LARCENY: THEFT FROM BUILDING,2019,38.85222147,-77.05064366
18,PETIT LARCENY: SHOPLIFTING,2019,38.86291575,-77.06104095
19,DUI,2019,38.85358943,-77.09751062
20,PETIT LARCENY: ALL OTHER LARCENY,2019,38.85234774,-77.1138969
21,PETIT LARCENY: SHOPLIFTING,2019,38.88193665,-77.10947267
22,PETIT LARCENY: SHOPLIFTING,2019,38.89916682,-77.12332492
