,Crime Type,Year,Latitude (D.C.),Longitude (D.C.)
0,theft/other,2018,38.919195635822504,-77.04168563587871
1,theft/other,2018,38.9205357239627,-76.9526631389814
2,theft/other,2018,38.9045239340876,-77.0326153266469
3,theft f/auto,2018,38.8576487900155,-76.99678554260629
4,theft/other,2018,38.8845928759178,-76.995309038683
5,theft/other,2018,38.914082774647206,-77.0288607648082
6,theft/other,2018,38.8633159468559,-76.9562614709096
7,theft f/auto,2018,38.903892472581,-77.0580822087716
8,theft f/auto,2018,38.9313732230699,-76.995571226153
9,theft f/auto,2018,38.9308867502334,-76.994971530668
10,theft f/auto,2018,38.845655435953105,-76.97277961700941
11,theft/other,2018,38.903726718235205,-77.00242104697841
12,assault w/dangerous weapon,2018,38.83107382923121,-77.00472199652509
13,theft/other,2018,38.883619956087706,-76.9538517105845
14,theft/other,2018,38.9003379033339,-77.0199208117442
15,theft/other,2018,38.903476129183,-76.9229533236416
16,motor vehicle theft,2018,38.890857929084504,-76.91367641397859
17,theft f/auto,2018,38.9566341077136,-77.07715028627359
18,theft/other,2018,38.9002039928735,-77.0106290242159
19,theft/other,2018,38.908315888174,-77.034565552461
20,theft f/auto,2018,38.9286306144349,-77.0312078159151
21,theft/other,2018,38.9419014992709,-77.0242118990143
22,theft/other,2018,38.9060417408735,-77.0058914055214
23,theft f/auto,2018,38.8984823320057,-76.9503375993889
24,assault w/dangerous weapon,2018,38.8801893042166,-76.93776503740159
25,theft/other,2018,38.926422087655396,-76.9636381386906
26,theft f/auto,2018,38.94790049679779,-77.09556373728171
27,assault w/dangerous weapon,2018,38.8737914233454,-77.01064813805542
28,motor vehicle theft,2018,38.898788808286,-76.932722602812
29,theft/other,2018,38.940270809047206,-77.02511105221109
30,burglary,2018,38.9068445599343,-77.043453929854
31,theft/other,2018,38.920986791961205,-77.04569967508358
32,theft f/auto,2018,38.9025232111842,-77.0389777387413
33,theft f/auto,2018,38.9014721914759,-77.0239906646866
34,theft/other,2018,38.932819057547896,-77.032743604622
35,theft f/auto,2018,38.9103737836223,-77.0161764070793
36,theft f/auto,2018,38.9084741421942,-76.99956187662559
37,theft/other,2018,38.8798087686474,-76.98678090441979
38,theft/other,2018,38.9013736745609,-76.9789952279802
39,theft f/auto,2018,38.9494517336912,-76.9831571622492
40,theft f/auto,2018,38.869474552246,-76.9766653945427
41,theft/other,2018,38.928170812833,-77.0325915444334
42,theft/other,2018,38.950799927229,-77.03156361390509
43,theft/other,2018,38.9001954371661,-76.9973139237093
