playerID,year,GP,G,A
aaltoan01,1997,3.0,0.0,0.0
aaltoan01,1998,76.0,3.0,5.0
aaltoan01,1999,139.0,10.0,16.0
aaltoan01,2000,151.0,11.0,17.0
abbeybr01,1975,17.0,1.0,0.0
abbotge01,1943,1.0,0.0,0.0
abbotre01,1952,3.0,0.0,0.0
abdelju01,2007,2.0,0.0,0.0
abdelju01,2008,4.0,0.0,0.0
abdelju01,2009,54.0,3.0,3.0
abdelju01,2010,128.0,10.0,15.0
abdelju01,2011,209.0,18.0,29.0
abelcl01,1926,44.0,8.0,4.0
abelcl01,1927,67.0,8.0,5.0
abelcl01,1928,111.0,11.0,6.0
abelcl01,1929,149.0,14.0,9.0
abelcl01,1930,192.0,14.0,10.0
abelcl01,1931,240.0,18.0,13.0
abelcl01,1932,287.0,18.0,17.0
abelcl01,1933,333.0,20.0,18.0
abelge01,1966,1.0,0.0,0.0
abelsi01,1938,15.0,1.0,1.0
abelsi01,1939,39.0,2.0,6.0
abelsi01,1940,86.0,13.0,28.0
abelsi01,1941,134.0,31.0,59.0
abelsi01,1942,183.0,49.0,83.0
abelsi01,1945,190.0,49.0,85.0
abelsi01,1946,250.0,68.0,114.0
abelsi01,1947,310.0,82.0,144.0
abelsi01,1948,370.0,110.0,170.0
abelsi01,1949,439.0,144.0,205.0
abelsi01,1950,508.0,167.0,243.0
abelsi01,1951,570.0,184.0,279.0
abelsi01,1952,609.0,189.0,283.0
abelsi01,1953,612.0,189.0,283.0
abgrade01,1975,13.0,0.0,2.0
abgrade01,1976,93.0,23.0,41.0
abgrade01,1977,158.0,36.0,52.0
abidra01,2002,33.0,10.0,8.0
abidra01,2003,49.0,13.0,10.0
abidra01,2005,55.0,13.0,12.0
abidra01,2006,68.0,14.0,16.0
abrahch01,1974,16.0,0.0,0.0
abrahch01,1975,57.0,0.0,1.0
abrahch01,1976,102.0,0.0,2.0
abrahth01,1974,76.0,8.0,22.0
abrahth01,1975,139.0,22.0,43.0
abrahth01,1976,203.0,28.0,67.0
abrahth01,1980,235.0,34.0,78.0
achtyge01,1951,1.0,0.0,0.0
achtyge01,1956,4.0,0.0,0.0
achtyge01,1957,20.0,3.0,5.0
achtyge01,1958,32.0,3.0,5.0
acombdo01,1969,2.0,0.0,1.0
actonke01,1979,2.0,0.0,1.0
actonke01,1980,63.0,15.0,25.0
actonke01,1981,141.0,51.0,77.0
actonke01,1982,219.0,75.0,103.0
actonke01,1983,290.0,95.0,148.0
actonke01,1984,368.0,115.0,186.0
actonke01,1985,447.0,141.0,218.0
actonke01,1986,525.0,157.0,247.0
actonke01,1987,597.0,168.0,264.0
actonke01,1988,668.0,182.0,289.0
actonke01,1989,737.0,195.0,303.0
actonke01,1990,813.0,209.0,326.0
actonke01,1991,863.0,216.0,336.0
actonke01,1992,946.0,224.0,351.0
actonke01,1993,1023.0,226.0,358.0
adairji01,1973,70.0,12.0,17.0
adamdo01,1949,4.0,0.0,1.0
adamipe01,1978,6.0,0.0,2.0
adamlu01,2010,19.0,3.0,1.0
adamlu01,2011,71.0,13.0,11.0
adamru01,1982,8.0,1.0,2.0
adamsbi01,1919,16.0,0.0,0.0
adamsbi01,1920,34.0,2.0,0.0
adamsbi01,1921,51.0,3.0,3.0
adamsbr01,1999,2.0,0.0,0.0
adamsbr01,2000,11.0,0.0,1.0
adamscr01,2000,44.0,1.0,0.0
adamscr01,2001,77.0,1.0,1.0
adamscr01,2002,158.0,7.0,13.0
adamscr01,2003,238.0,14.0,23.0
adamscr01,2005,305.0,24.0,34.0
adamscr01,2006,387.0,31.0,41.0
adamscr01,2007,462.0,35.0,48.0
adamscr01,2008,507.0,37.0,53.0
adamscr01,2009,589.0,37.0,63.0
adamscr01,2010,669.0,41.0,74.0
adamscr01,2011,751.0,46.0,87.0
adamsgr01,1980,6.0,3.0,0.0
adamsgr01,1981,39.0,7.0,15.0
adamsgr01,1982,118.0,17.0,28.0
adamsgr01,1983,175.0,19.0,34.0
adamsgr01,1984,226.0,25.0,46.0
adamsgr01,1985,304.0,43.0,84.0
adamsgr01,1986,371.0,57.0,114.0
adamsgr01,1987,449.0,72.0,126.0
adamsgr01,1988,510.0,80.0,133.0
adamsgr01,1989,545.0,84.0,143.0
adamsgr02,1984,36.0,12.0,9.0
adamsgr02,1985,114.0,47.0,51.0
adamsgr02,1986,186.0,67.0,78.0
adamsgr02,1987,266.0,103.0,118.0
adamsgr02,1988,327.0,122.0,132.0
adamsgr02,1989,392.0,152.0,152.0
adamsgr02,1990,447.0,173.0,176.0
adamsgr02,1991,523.0,203.0,203.0
adamsgr02,1992,576.0,228.0,234.0
adamsgr02,1993,644.0,241.0,258.0
adamsgr02,1994,687.0,249.0,271.0
adamsgr02,1995,753.0,271.0,292.0
adamsgr02,1996,803.0,292.0,307.0
adamsgr02,1997,852.0,306.0,325.0
adamsgr02,1998,927.0,325.0,349.0
adamsgr02,1999,996.0,344.0,376.0
adamsgr02,2000,1056.0,355.0,388.0
adamsja01,1917,8.0,0.0,0.0
adamsja01,1918,25.0,3.0,3.0
adamsja01,1919,47.0,12.0,7.0
adamsja01,1920,71.0,29.0,20.0
adamsja01,1921,95.0,55.0,24.0
adamsja01,1922,118.0,74.0,33.0
adamsja01,1923,140.0,88.0,37.0
adamsja01,1924,167.0,109.0,47.0
adamsja01,1925,203.0,130.0,52.0
adamsja01,1926,243.0,135.0,53.0
adamsjo01,1940,42.0,6.0,12.0
adamsjo02,1972,14.0,0.0,0.0
adamsjo02,1974,22.0,0.0,0.0
adamske01,1997,5.0,0.0,0.0
adamske01,1998,6.0,0.0,0.0
adamske01,1999,58.0,5.0,8.0
adamske01,2000,136.0,16.0,26.0
adamske01,2001,213.0,22.0,37.0
adamske01,2002,290.0,31.0,46.0
adamske01,2003,363.0,41.0,58.0
adamske01,2005,445.0,56.0,66.0
adamske01,2006,513.0,59.0,75.0
adamske01,2007,540.0,59.0,77.0
adamsst01,1929,24.0,4.0,6.0
adamsst01,1930,61.0,9.0,19.0
adamsst01,1931,87.0,9.0,24.0
adamsst01,1932,95.0,9.0,26.0
adduora01,1973,2.0,0.0,0.0
adduora01,1974,80.0,15.0,59.0
adduora01,1975,160.0,38.0,126.0
adduora01,1976,213.0,44.0,150.0
adduora01,1977,221.0,45.0,152.0
adduori01,1975,1.0,0.0,0.0
adduori01,1978,81.0,20.0,33.0
adduori01,1979,84.0,20.0,33.0
aebisda01,2000,26.0,0.0,1.0
aebisda01,2001,47.0,0.0,1.0
aebisda01,2002,69.0,0.0,1.0
aebisda01,2003,131.0,0.0,2.0
aebisda01,2005,181.0,0.0,5.0
aebisda01,2006,213.0,0.0,5.0
aebisda01,2007,214.0,0.0,5.0
afanadm01,2000,9.0,1.0,1.0
afanadm01,2001,14.0,1.0,1.0
afanadm01,2003,85.0,7.0,11.0
afanadm01,2005,153.0,16.0,17.0
afanadm01,2006,227.0,27.0,27.0
afflebr01,1974,13.0,0.0,2.0
afflebr01,1975,93.0,4.0,28.0
afflebr01,1976,173.0,9.0,48.0
afflebr01,1977,248.0,13.0,62.0
afflebr01,1978,274.0,14.0,65.0
afflebr01,1979,279.0,14.0,66.0
afflebr01,1983,280.0,14.0,66.0
afinoma01,1999,65.0,16.0,18.0
afinoma01,2000,143.0,30.0,40.0
afinoma01,2001,224.0,51.0,59.0
afinoma01,2002,259.0,56.0,65.0
afinoma01,2003,332.0,73.0,79.0
afinoma01,2005,409.0,95.0,130.0
afinoma01,2006,465.0,118.0,168.0
afinoma01,2007,521.0,128.0,186.0
afinoma01,2008,569.0,134.0,200.0
afinoma01,2009,651.0,158.0,237.0
agnewji01,1986,4.0,0.0,0.0
agnewji01,1987,14.0,0.0,1.0
agnewji01,1989,21.0,0.0,1.0
agnewji01,1990,41.0,0.0,1.0
agnewji01,1991,65.0,0.0,1.0
agnewji01,1992,81.0,0.0,1.0
ahearke01,1972,78.0,20.0,22.0
ahernfr01,1974,3.0,2.0,1.0
ahernfr01,1975,47.0,19.0,9.0
ahernfr01,1976,72.0,23.0,13.0
ahernfr01,1977,146.0,31.0,30.0
ahlinru01,1937,1.0,0.0,0.0
ahokase01,1978,1.0,0.0,0.0
aholape01,1991,71.0,7.0,12.0
aholape01,1992,121.0,10.0,17.0
aholape01,1993,123.0,10.0,17.0
ahrench01,1972,0.0,0.0,0.0
ahrench01,1973,3.0,0.0,1.0
ahrench01,1974,47.0,0.0,3.0
ahrench01,1975,49.0,0.0,3.0
ahrench01,1976,51.0,0.0,3.0
ahrench01,1977,56.0,0.0,3.0
aikendo01,1957,1.0,0.0,0.0
ailsbll01,1951,3.0,0.0,0.0
aitkean01,1932,48.0,0.0,0.0
aitkean01,1933,96.0,0.0,0.0
aitkean01,1934,106.0,0.0,0.0
aitkebr01,1987,5.0,1.0,1.0
aitkebr01,1990,14.0,1.0,3.0
aitkejo01,1999,3.0,0.0,0.0
aitkejo01,2003,44.0,0.0,1.0
aivazmi01,1993,59.0,4.0,4.0
aivazmi01,1994,80.0,4.0,5.0
aivazmi01,1995,92.0,4.0,6.0
alatami01,1999,82.0,10.0,17.0
alatami01,2000,152.0,17.0,29.0
albelto01,1987,60.0,3.0,23.0
albelto01,1988,120.0,12.0,51.0
albelto01,1989,188.0,18.0,74.0
albelto01,1990,235.0,20.0,86.0
albelto01,1991,254.0,20.0,90.0
albelto01,1992,290.0,21.0,95.0
albelto01,1993,352.0,23.0,112.0
albelto01,1994,400.0,28.0,122.0
albelto01,1995,473.0,29.0,135.0
albelto01,1996,545.0,33.0,146.0
albelto01,1997,614.0,35.0,163.0
albelto01,1998,674.0,36.0,168.0
albelto01,1999,715.0,40.0,174.0
albelto01,2000,792.0,41.0,193.0
albelto01,2001,834.0,42.0,196.0
albelto01,2002,871.0,43.0,202.0
albelto01,2003,916.0,44.0,205.0
albelto01,2005,952.0,44.0,211.0
alberan01,2005,73.0,1.0,6.0
alberan01,2006,149.0,1.0,16.0
alberan01,2007,184.0,1.0,18.0
alberan01,2008,263.0,2.0,30.0
alberan01,2009,339.0,5.0,39.0
alberan01,2010,381.0,6.0,45.0
alberan01,2011,425.0,8.0,46.0
albricl01,1948,59.0,14.0,5.0
aldcoga01,1956,22.0,5.0,1.0
aldcoga01,1957,81.0,15.0,15.0
aldcoga01,1958,86.0,15.0,18.0
aldcoga01,1959,156.0,37.0,47.0
aldcoga01,1960,226.0,41.0,56.0
aldrike01,1999,4.0,0.0,0.0
alexaar01,1931,10.0,0.0,2.0
alexaar01,1932,11.0,0.0,2.0
alexacl01,1974,42.0,7.0,11.0
alexacl01,1975,75.0,9.0,17.0
alexacl01,1976,123.0,10.0,29.0
alexacl01,1977,155.0,18.0,47.0
alexacl01,1978,209.0,26.0,70.0
